vltgA,vltgB,vltgC,currA,currB,currC,currN,F,PFA,PFB,PFC,VTHD,ITHD,ambTemp,finTemp,statusWord,txn_header_id,sample_timestamp,vltgGN,eventId,eventTime,boardTemp
2291,2305,2290,1788,800,2117,470,5000,81,82,79,12,33,0,0,41642,be7cb801219f41b893ac2f5cd3bf6298,2/1/2016 0:00,0,3,2/1/2016 0:00,73
2289,2303,2289,1788,800,2070,470,5000,0,0,0,12,33,0,0,43690,be7cb801219f41b893ac2f5cd3bf6298,2/1/2016 0:00,0,5,2/1/2016 0:00,73
2292,2306,2292,1788,800,2117,470,5000,81,82,78,12,33,0,0,41642,aa2d5ed7cf79492f993affff698c5a42,2/1/2016 0:01,0,3,2/1/2016 0:01,73
2291,2304,2290,1788,800,2073,470,5000,0,0,0,12,32,0,0,43690,aa2d5ed7cf79492f993affff698c5a42,2/1/2016 0:01,0,5,2/1/2016 0:01,73
2292,2307,2292,1788,800,2117,470,5000,81,82,79,12,33,0,0,41642,ff703f3b5af44d139ab3ad368b5ebbee,2/1/2016 0:01,0,3,2/1/2016 0:01,73
2291,2305,2290,1788,801,2077,466,5000,0,0,0,11,32,0,0,41642,ff703f3b5af44d139ab3ad368b5ebbee,2/1/2016 0:02,0,5,2/1/2016 0:02,73
2292,2303,2292,1788,847,2117,376,5000,0,0,0,12,33,0,0,41642,b678c9f35c9c43fe9bff8c0d77a9b4de,2/1/2016 0:02,0,3,2/1/2016 0:02,73
2290,2301,2290,1788,879,2080,370,5000,0,0,0,10,32,0,0,41642,b678c9f35c9c43fe9bff8c0d77a9b4de,2/1/2016 0:03,0,5,2/1/2016 0:03,73
2289,2300,2289,1788,894,2117,376,5000,81,84,78,10,32,0,0,41642,6bfe63e1601248a1b20fbe2ba8709d22,2/1/2016 0:03,0,3,2/1/2016 0:03,73
2287,2298,2287,1788,893,2085,376,5000,0,0,0,8,31,0,0,43690,6bfe63e1601248a1b20fbe2ba8709d22,2/1/2016 0:03,0,5,2/1/2016 0:03,73
2284,2296,2285,1788,894,2117,376,5000,81,84,79,7,31,0,0,41642,7f5859a45bb1463899fbf6514b09ff05,2/1/2016 0:04,0,3,2/1/2016 0:04,73
2283,2294,2284,1788,894,2082,376,5000,0,0,0,6,30,0,0,43690,7f5859a45bb1463899fbf6514b09ff05,2/1/2016 0:04,0,5,2/1/2016 0:04,73
2282,2293,2283,1788,894,2117,376,5000,82,84,78,6,31,0,0,41642,68d630640b184d1c8eef826e6dbecb48,2/1/2016 0:05,0,3,2/1/2016 0:05,73
2281,2294,2281,1788,847,2076,426,5000,0,0,0,5,30,0,0,43690,68d630640b184d1c8eef826e6dbecb48,2/1/2016 0:05,0,5,2/1/2016 0:05,73
2281,2295,2282,1788,800,2117,470,5000,81,82,79,5,30,0,0,41642,331b9210add74f33919ef60b598e17c2,2/1/2016 0:06,0,3,2/1/2016 0:06,73
2280,2294,2280,1789,800,2081,489,5000,0,0,0,5,30,0,0,43690,331b9210add74f33919ef60b598e17c2,2/1/2016 0:06,0,5,2/1/2016 0:06,73
2282,2295,2277,1788,800,2305,564,5000,81,82,82,5,30,0,0,41642,a27d6f51bc284a928e16897bd5bec8db,2/1/2016 0:06,0,3,2/1/2016 0:06,73
2280,2293,2276,1788,800,2249,559,5000,0,0,0,4,30,0,0,43690,a27d6f51bc284a928e16897bd5bec8db,2/1/2016 0:07,0,5,2/1/2016 0:07,73
2281,2294,2276,1788,800,2305,564,5000,81,82,82,4,30,0,0,41642,3b17563794bc45ffaad5f47853f571f9,2/1/2016 0:07,0,3,2/1/2016 0:07,73
2280,2293,2275,1788,800,2259,564,5000,0,0,0,3,30,0,0,43690,3b17563794bc45ffaad5f47853f571f9,2/1/2016 0:08,0,5,2/1/2016 0:08,73
2281,2294,2276,1788,800,2305,564,5000,82,82,82,3,30,0,0,41642,46274cf7e31644b1a901ba722f417e4c,2/1/2016 0:08,0,3,2/1/2016 0:08,73
2280,2292,2274,1788,800,2267,564,5000,0,0,0,3,30,0,0,43690,46274cf7e31644b1a901ba722f417e4c,2/1/2016 0:08,0,5,2/1/2016 0:08,73
2281,2293,2276,1788,800,2305,564,5000,82,82,82,3,30,0,0,41642,aea04f19a2814b9ba901ee468c665100,2/1/2016 0:09,0,3,2/1/2016 0:09,73
2281,2293,2275,1788,800,2274,564,5000,0,0,0,3,30,0,0,43690,aea04f19a2814b9ba901ee468c665100,2/1/2016 0:09,0,5,2/1/2016 0:09,73
